id,name,element,hp,atk,def,spd,total,talent,variant,series
29,Aqua,Water,80,93,85,68,326,Rejuvenation,-,Konosuba
30,Arataka Reigen,Neutral,85,70,87,75,317,Trick Room,ATK,Mob Psycho 100
31,Armin Arlert,Ground,70,96,73,86,325,Evasion,-,Attack On Titan
32,Arthur Boyle,Fire,86,78,72,95,331,Breaker,ATK,Fire Force
33,Artoria Pendragon,Light,86,93,75,65,319,Breaker,DEF,Fate
34,Aru Akise,Light,95,84,70,76,325,Divine Blessing,-,Mirai Nikki
35,Asia Argento,Light,99,81,62,81,323,Regeneration,-,High School DxD
36,Asta,Dark,83,85,68,93,329,Restricted Instinct,-,Black Clover
37,Astolfo,Neutral,70,82,86,93,331,Paralysis,-,Nov 2021 Event
38,Asuna Yuuki,Water,97,85,63,79,324,Balancing Strike,-,Sword Art Online
39,Atsushi Nakajima,Light,90,81,93,63,327,Transformation,ATK,Bungou Stray Dogs
40,Ayano Keiko (Silica),Grass,63,84,100,80,327,Restricted Instinct,-,Sword Art Online
41,Ayato Kirishima,Dark,87,94,63,75,319,Elemental Strike,Dark/ATK,Tokyo Ghoul
42,Ayato Naoi,Neutral,89,81,86,67,323,Poison,-,Angel Beats
43,Azusa Nakano,Light,80,80,82,77,319,Rejuvenation,-,K On!
44,Bad (Metal Bat),Ground,60,92,79,94,325,Executioner,-,One Punch Man
45,Ban,Dark,90,61,83,94,328,Regeneration,-,7 Deadly Sins
46,Basara Toujou,Light,65,77,94,87,323,Executioner,-,Shinmai Maou No Testament
47,Bell Cranel,Dark,75,88,86,70,319,Evasion,-,Danmachi
48,Bell Hydra,Neutral,84,89,66,82,321,Trick Room,DEF,Blood Lad
49,Benedict Blue,Water,95,87,68,80,330,Miracle Injection,-,Violet Evergarden
50,Benimaru,Fire,75,86,71,90,322,Time Attack,Fire/ATK,Tensei Shitara Slime Datta Ken
51,Benimaru Shinmon,Fire,73,87,76,91,327,Mana Reaver,-,Fire Force
52,Beros,Dark,84,86,80,76,326,Grievous Limiter,-,Blood Lad
53,Bishamonten,Electric,77,95,73,80,325,Lucky Coin,-,Noragami
54,Bisky Krueger,Light,67,96,62,95,320,Evasion,-,Hunter X Hunter
55,Black Star,Ground,83,92,70,80,325,Time Attack,Ground/ATK,Soul Eater
56,Blair,Dark,102,69,68,84,323,Time Attack,Dark/HP,Soul Eater
57,Bond Forger,Neutral,83,89,80,87,339,Underdog,ATK,Spy X Family
58,Botan,Light,92,73,81,81,327,Reversion,-,Yu Yu Hakusho
59,Braz D Blood,Dark,70,92,87,75,324,Dominance,-,Blood Lad
60,Brook,Dark,78,94,72,79,323,Precision,-,One Piece
61,Byakuya Togami,Light,89,70,91,75,325,Blood Surge,-,Danganronpa
62,C.C.,Light,95,67,93,70,325,Rejuvenation,-,Code Geass
63,Chainsaw Man,Dark,69,102,86,69,326,Bloodthirster,-,Chainsaw Man
64,Charmy Pappitson,Dark,82,87,79,77,325,Transformation,ATK,Black Clover
65,Chiaki Nanami,Electric,80,91,68,86,325,Dominance,-,Danganronpa
66,Chifuyu Matsuno,Neutral,86,75,93,73,327,Balancing Strike,-,Tokyo Revengers
67,Chika Fujiwara,Light,87,90,82,66,325,Lucky Coin,-,Love Is War
68,Child Emperor,Neutral,84,85,62,93,324,Underdog,DEF,One Punch Man
69,Chino Kafuu,Water,80,95,81,70,326,Time Bomb,-,Gochuumon Wa Usagi Desu Ka
70,Chisato Hasegawa,Neutral,98,92,64,70,324,Divine Blessing,-,Shinmai Maou No Testament
71,Chiya Ujimatsu,Water,76,69,98,77,320,Lucky Coin,-,Gochuumon Wa Usagi Desu Ka
72,Chlammy Zell,Neutral,81,81,81,81,324,Paralysis,-,No Game No Life
73,Chocolove Mcdonell,Electric,90,78,70,90,328,Dexterity Drive,Ground,Shaman King
74,Chomusuke,Dark,81,81,81,81,324,Celestial Influence,-,Konosuba
75,Chrome,Ground,79,88,78,82,327,Elemental Strike,Ground/ATK,Dr. Stone
76,Cirno,Water,73,99,73,90,335,Freeze,-,Touhou
77,Cocoa Hoto,Fire,70,95,72,85,322,Dominance,-,Gochuumon Wa Usagi Desu Ka
78,Colossal Titan,Ground,95,95,95,50,335,Recoil,-,Attack On Titan
79,Cornelia Britannia,Neutral,76,97,74,73,320,Celestial Influence,-,Code Geass
80,Cow Girl,Water,98,74,72,80,324,Temporal Rewind,-,Goblin Slayer
81,Crona,Dark,96,87,62,79,324,Time Attack,Dark/DEF,Soul Eater
82,Crusch Karsten,Neutral,84,80,78,85,327,Restricted Instinct,-,Re:Zero
83,Dabi,Fire,80,87,83,72,322,Amplifier,ATK,My Hero Academia
84,Damian Desmond,Ground,80,80,80,80,320,Life Sap,-,Spy X Family
85,Darkness,Neutral,97,70,91,61,319,Rejuvenation,-,Konosuba
86,Death The Kid,Dark,93,67,75,88,323,Lucky Coin,-,Soul Eater
87,Demiurge,Fire,86,75,88,80,329,Blaze,-,Overlord
88,Denji,Neutral,84,88,91,70,333,Paralysis,-,Chainsaw Man
89,Denki Kaminari,Electric,60,98,75,91,324,Executioner,-,My Hero Academia
90,Diablo,Dark,85,60,77,100,322,Grievous Limiter,-,Tensei Shitara Slime Datta Ken
91,Diane,Ground,81,81,83,81,326,Elemental Strike,Ground/ATK,7 Deadly Sins
92,Dio Brando,Electric,74,88,83,81,326,Blood Surge,-,Jojos Bizarre Adventure
93,Doppo Kunikida,Grass,97,77,73,79,326,Celestial Blessing,-,Bungou Stray Dogs
94,Draken,Fire,82,83,80,86,331,Transformation,ATK,Tokyo Revengers
95,Echidna,Dark,76,99,84,67,326,Pain For Power,-,Re:Zero
96,Ed,Fire,87,65,92,83,327,Mana Reaver,-,Cowboy Bebop
97,Edward Elric,Electric,84,75,101,63,323,Regeneration,-,Fullmetal Alchemist
98,Elaine,Grass,72,88,76,87,323,Protector,-,7 Deadly Sins
99,Elma,Water,86,85,86,68,325,Time Attack,Water/ATK,Ms. Kobayashi's Dragon Maid
100,Emilia,Water,82,90,72,76,320,Amplifier,DEF,Re:Zero
101,Enel,Electric,94,62,76,87,319,Double-edged Strike,Electric/DEF,One Piece
102,Envy,Dark,85,73,76,88,322,Evasion,-,Fullmetal Alchemist
103,Eren Yeager,Ground,73,68,87,95,323,Dexterity Drive,Ground,Attack On Titan
104,Eri,Light,79,84,75,83,321,Reversion,-,My Hero Academia
105,Erina Nakiri,Neutral,84,90,76,76,326,Pain For Power,-,Shokugeki No Soma
106,Eris,Light,82,84,83,76,325,Lucky Coin,-,Konosuba
107,Eruka Frog,Light,74,78,83,89,324,Time Bomb,-,Soul Eater
108,Erwin Smith,Ground,86,87,73,77,323,Offensive Stance,-,Attack On Titan
109,Erza Scarlet,Ground,78,95,80,76,329,Pain For Power,-,Fairy Tail
110,Escanor,Fire,79,100,80,64,323,Overload,ATK,7 Deadly Sins
111,Esdeath,Water,70,97,62,90,319,Elemental Strike,Water/ATK,Akame Ga Kill!
112,Eto Yoshimura,Dark,95,80,78,73,326,Breaker,ATK,Tokyo Ghoul
113,Eugeo,Water,73,89,76,84,322,Freeze,-,Sword Art Online
114,Fafnir,Dark,89,83,74,79,325,Balancing Strike,-,Ms. Kobayashi's Dragon Maid
115,Fairy King Harlequin,Grass,91,92,63,73,319,Blaze,-,7 Deadly Sins
116,Faye Valentine,Light,85,91,74,77,327,Precision,-,Cowboy Bebop
117,Feitan Portor,Fire,75,80,86,82,323,Evasion,-,Hunter X Hunter
118,Felix Argyle,Neutral,102,73,77,68,320,Evasion,-,Re:Zero
119,Ferid Bathory,Dark,70,92,86,70,318,Bloodthirster,-,Owari No Seraph
120,Fiel Nirvalen (Fii),Light,73,86,86,79,324,Celestial Influence,-,No Game No Life
121,Filo,Light,85,76,83,79,323,Amplifier,ATK,The Rising Of The Shield Hero
122,Fitoria,Light,90,82,76,77,325,Transformation,ATK,The Rising Of The Shield Hero
123,Flandre Scarlet,Fire,89,80,83,77,329,Bloodthirster,-,Touhou
124,Fran,Grass,76,62,98,84,320,Double-edged Strike,Grass/DEF,Katekyo Hitman Reborn
125,Franken Stein,Dark,93,81,85,67,326,Time Bomb,-,Soul Eater
126,Frederica,Light,91,70,87,79,327,Miracle Injection,-,Bofuri
127,Freya,Grass,75,79,84,83,321,Rejuvenation,-,Danmachi
128,Fumikage Tokoyami,Dark,86,71,67,95,319,Dexterity Drive,Dark,My Hero Academia
129,Fuutarou Uesugi,Neutral,80,80,80,80,320,Celestial Blessing,-,The Quintessential Quintuplets
130,Fuyumi Yanagi,Water,79,88,84,75,326,Bloodthirster,-,Blood Lad
131,Gaara,Ground,78,80,92,75,325,Divine Blessing,-,Naruto
132,Gajeel Redfox,Ground,80,89,80,75,324,Overload,ATK,Fairy Tail
133,Garou,Neutral,70,82,91,80,323,Blood Surge,-,One Punch Man
134,Gen Asagiri,Neutral,96,60,84,82,322,Poison,-,Dr. Stone
135,Genos,Fire,83,90,76,72,321,Overload,ATK,One Punch Man
136,Genryusai Shigekuni Yamamoto,Fire,97,74,84,66,321,Amplifier,DEF,Bleach
137,Ghost,Dark,75,75,75,75,300,Dominance,-,Halloween Event
138,Gilbert Bougainvillea,Neutral,81,96,81,70,328,Double-edged Strike,Neutral/ATK,Violet Evergarden
139,Gilgamesh,Fire,84,86,85,70,325,Executioner,-,Fate
140,Gilthunder,Electric,80,82,73,88,323,Elemental Strike,Electric/ATK,7 Deadly Sins
141,Gin,Grass,95,84,78,78,335,Soul Stealer,DEF,Hotarubi No Mori E
142,Gin Gagamaru,Ground,87,72,101,50,310,Protector,-,Blue Lock
143,Gintoki Sakata,Electric,83,80,87,74,324,Endurance,-,Gintama
144,Giorno Giovanna,Grass,84,84,78,78,324,Temporal Rewind,-,Jojos Bizarre Adventure
145,Giyu Tomioka,Water,76,80,81,93,330,Double-edged Strike,Water/SPD,Demon Slayer
146,Goblin Slayer,Ground,90,95,77,63,325,Executioner,-,Goblin Slayer
147,Gon Freecss,Light,80,86,80,77,323,Paralysis,-,Hunter X Hunter
148,Goro (056),Ground,84,75,92,76,327,Divine Blessing,-,Darling In The Franxx
149,Gowther,Water,89,63,82,83,317,Trick Room,ATK,7 Deadly Sins
150,Gray Fullbuster,Water,81,83,80,79,323,Freeze,-,Fairy Tail
151,Greed,Neutral,84,73,95,72,324,Protector,-,Fullmetal Alchemist
152,Grimmjow Jeagerjaques,Dark,67,94,68,95,324,Dexterity Drive,Dark,Bleach
153,Guild Girl,Ground,85,70,95,74,324,Divine Blessing,-,Goblin Slayer
154,Guren Ichinose,Neutral,63,85,95,80,323,Offensive Stance,-,Owari No Seraph
155,Hajime Kokonoi,Dark,81,86,72,95,334,Unlucky Coin,-,Tokyo Revengers
156,Hao Asakura,Fire,90,72,97,68,327,Blaze,-,Shaman King
157,Happy,Water,84,83,71,90,328,Dexterity Drive,Water,Fairy Tail
158,Haruka Tenou (Sailor Uranus),Grass,90,82,60,92,324,Elemental Strike,Grass/ATK,Sailor Moon
159,Hatsune Miku,Water,85,78,83,83,329,Breaker,ATK,Vocaloid
160,Hayato Gokudera,Fire,84,86,68,84,322,Time Bomb,-,Katekyo Hitman Reborn
161,Hei,Dark,80,85,80,81,326,Paralysis,-,Darker Than Black
162,Hestia,Light,85,73,83,87,328,Vengeance,ATK,Danmachi
163,Hibana,Fire,76,92,83,77,328,Overload,ATK,Fire Force
164,Hideyoshi Kinoshita,Neutral,96,70,93,72,331,Ultimate Combo,-,Nov 2021 Event
165,Hideyoshi Nagachika,Electric,83,92,67,84,326,Overload,ATK,Tokyo Ghoul
166,Hiei,Dark,93,86,82,58,319,Reversion,-,Yu Yu Hakusho
167,High Elf Archer,Grass,81,75,88,82,326,Precision,-,Goblin Slayer
168,Hijikata Toushirou,Fire,74,86,90,76,326,Double-edged Strike,Fire/DEF,Gintama
169,Himeno,Grass,78,93,82,72,325,Pain For Power,-,Chainsaw Man
170,Himiko Toga,Dark,79,85,86,79,329,Poison,-,My Hero Academia
171,Hinami Fueguchi,Dark,74,88,81,77,320,Offensive Stance,-,Tokyo Ghoul
172,Hinata Hyuga,Neutral,85,75,94,69,323,Divine Blessing,-,Naruto
173,Hiro (016),Neutral,89,96,60,77,322,Divine Blessing,-,Darling In The Franxx
174,Hisako Arato,Neutral,69,83,85,90,327,Bloodthirster,-,Shokugeki No Soma
175,Hisoka Morrow,Dark,83,72,90,75,320,Poison,-,Hunter X Hunter
176,Historia Reiss,Light,83,77,95,73,328,Temporal Rewind,-,Attack On Titan
177,Hiyori Iki,Water,72,80,93,81,326,Transformation,ATK,Noragami
178,Horohoro,Water,90,75,86,80,331,Freeze,-,Shaman King
179,Hotaru Takegawa,Water,83,89,66,91,329,Temporal Rewind,-,Hotarubi No Mori E
180,Houka Inumuta,Water,90,86,75,74,325,Dominance,-,Kill La Kill
181,Hyoma Chigiri,Water,84,85,71,99,339,Dexterity Drive,Ground,Blue Lock
182,Ichigo (015),Water,81,65,90,83,319,Underdog,DEF,Darling In The Franxx
183,Ichigo Kurosaki,Dark,89,102,64,66,321,Berserker,ATK,Bleach
184,Ichika Nakano,Electric,76,80,95,76,327,Miracle Injection,-,The Quintessential Quintuplets
185,Ikumi Mito,Ground,76,92,80,80,328,Life Sap,-,Shokugeki No Soma
186,Illyasviel Von Einzbern,Water,84,85,78,76,323,Elemental Strike,Water/ATK,Fate
187,Inosuke Hashibira,Dark,90,88,81,62,321,Amplifier,DEF,Demon Slayer
188,Inuyasha,Dark,84,81,68,92,325,Divine Blessing,-,Inuyasha
189,Ira Gamagori,Ground,98,80,68,79,325,Time Bomb,-,Kill La Kill
190,Irina Jelavic,Neutral,84,76,85,80,325,Vengeance,ATK,Assassination Classroom
191,Iris,Neutral,88,70,96,72,326,Life Sap,-,Fire Force
192,Iron Maiden Jeanne,Light,80,85,80,80,325,Reflector,-,Shaman King
193,Issei Hyoudou,Dark,82,86,70,86,324,Rejuvenation,-,High School DxD
194,Itachi Uchiha,Dark,82,101,70,72,325,Transformation,ATK,Naruto
195,Itaru Hashida,Ground,90,90,97,75,352,Recoil,-,Steins Gate
196,Itona Horibe,Electric,78,83,80,86,327,Ultimate Combo,-,Assassination Classroom
197,Itsuki Kawasumi,Grass,80,82,80,85,327,Grievous Limiter,-,The Rising Of The Shield Hero
198,Itsuki Nakano,Fire,76,76,76,95,323,Time Bomb,-,The Quintessential Quintuplets
199,Iz,Water,100,76,80,62,318,Celestial Blessing,-,Bofuri
200,Izuku Midoriya (Deku),Grass,78,93,66,84,321,Vengeance,ATK,My Hero Academia
201,Izumi Kyoka,Water,85,80,82,80,327,Berserker,DEF,Bungou Stray Dogs
202,Izumo Kamiki,Dark,93,75,82,76,326,Trick Room,ATK,Ao No Exorcist
203,Izuna Hatsuse,Fire,90,83,84,66,323,Transformation,ATK,No Game No Life
204,Jack Frost,Water,82,110,70,73,335,Executioner,-,Christmas Afterparty 2020
205,Jellal Fernandes,Dark,69,94,98,64,325,Elemental Strike,Light/ATK,Fairy Tail
206,Jet Black,Ground,85,90,86,100,361,Recoil,-,Cowboy Bebop
207,Jibril,Light,81,88,75,80,324,Elemental Strike,Light/ATK,No Game No Life
208,Jinpachi Ego,Ground,80,82,50,88,300,Trick Room,DEF,Blue Lock
209,Jiraiya,Ground,91,83,85,65,324,Underdog,DEF,Naruto
210,Jonathan Joestar,Water,84,90,74,77,325,Endurance,-,Jojos Bizarre Adventure
211,Joseph Joestar,Light,96,88,72,70,326,Rejuvenation,-,Jojos Bizarre Adventure
212,Josuke Higashikata,Ground,92,68,88,75,323,Endurance,-,Jojos Bizarre Adventure
213,Jotaro Kujo,Neutral,80,90,80,75,325,Transformation,ATK,Jojos Bizarre Adventure
214,Judar,Dark,65,78,91,86,320,Double-edged Strike,Dark/DEF,Magi
215,July,Neutral,78,75,97,70,320,Regeneration,-,Darker Than Black
216,Junko Enoshima,Electric,78,72,90,87,327,Grievous Limiter,-,Danganronpa
217,Juvia Lockser,Water,75,97,80,71,323,Elemental Strike,Water/ATK,Fairy Tail
218,Kaede Kayano,Grass,74,87,81,84,326,Transformation,ATK,Assassination Classroom
219,Kagome Higurashi,Grass,75,91,91,64,321,Divine Blessing,-,Inuyasha
220,Kagura,Ground,84,87,78,77,326,Endurance,-,Gintama
221,Kaguya Shinomiya,Dark,84,77,88,76,325,Breaker,ATK,Love Is War
222,Kakashi Hatake,Electric,67,97,74,81,319,Elemental Strike,Electric/ATK,Naruto
223,Kakine Teitoku,Light,70,86,86,84,326,Elemental Strike,Dark/ATK,A Certain Scientific Railgun
224,Kallen Kozuki,Ground,73,69,96,87,325,Dominance,-,Code Geass
225,Kamijou Touma,Light,84,89,71,77,321,Restricted Instinct,-,A Certain Scientific Railgun
226,Kanade,Fire,84,70,83,80,317,Trick Room,ATK,Bofuri
227,Kanade Tachibana,Light,70,89,75,87,321,Breaker,ATK,Angel Beats
228,Kanao Tsuyuri,Neutral,69,81,96,77,323,Berserker,ATK,Demon Slayer
229,Kaneki Ken,Dark,73,99,75,80,327,Amplifier,ATK,Tokyo Ghoul
230,Kanna Kamui,Electric,93,75,89,73,330,Protector,-,Ms. Kobayashi's Dragon Maid
231,Karasuma Tadaomi,Ground,87,84,75,82,328,Precision,-,Assassination Classroom
232,Karma Akabane,Fire,73,96,72,86,327,Executioner,-,Assassination Classroom
233,Kasumi,Ground,90,80,73,94,337,Mana Reaver,-,Bofuri
234,Katsuki Bakugo,Fire,85,94,63,82,324,Blaze,-,My Hero Academia
235,Katsura Kotarou,Grass,83,98,76,67,324,Vengeance,DEF,Gintama
236,Kazuma,Grass,83,80,73,90,326,Dominance,-,Noragami
237,Kazuma Kuwabara,Ground,91,73,77,86,327,Restricted Instinct,-,Yu Yu Hakusho
238,Kazuma Satou,Neutral,75,84,100,64,323,Freeze,-,Konosuba
239,Kei Shirogane,Water,88,76,75,93,332,Dexterity Drive,Light,Love Is War
240,Kei Tsukishima,Dark,78,78,93,76,325,Protector,-,Haikyuu!!
241,Keigo Takami (Hawks),Grass,68,97,65,95,325,Double-edged Strike,Grass/ATK,My Hero Academia
242,Keisuke Baji,Fire,79,95,68,86,328,Blood Surge,-,Tokyo Revengers
243,Kenji Miyazawa,Ground,78,80,66,100,324,Offensive Stance,-,Bungou Stray Dogs
244,Kenma Kozume,Water,90,87,68,81,326,Trick Room,DEF,Haikyuu!!
245,Kenpachi Zaraki,Electric,97,91,65,71,324,Paralysis,-,Bleach
246,Kento Nanami,Ground,69,92,84,80,325,Pain For Power,-,Jujutsu Kaisen
247,Kid Buu,Dark,80,83,81,78,322,Pain For Power,-,Dragon Ball
248,Kikyo,Light,80,85,74,80,319,Precision,-,Inuyasha
249,Killua Zoldyck,Electric,87,88,67,84,326,Paralysis,-,Hunter X Hunter
250,Kirari Momobami,Light,85,84,76,82,327,Life Sap,-,Kakegurui
251,Kirito,Dark,82,90,73,85,330,Elemental Strike,Dark/ATK,Sword Art Online
252,Kiritsugu Emiya,Dark,70,85,77,90,322,Precision,-,Fate
253,Kishou Arima,Dark,76,78,79,94,327,Dexterity Drive,Dark,Tokyo Ghoul
254,Kisuke Urahara,Dark,90,72,84,85,331,Restricted Instinct,-,Bleach
255,Klein,Fire,83,74,96,70,323,Amplifier,DEF,Sword Art Online
256,Kobayashi,Neutral,86,75,82,79,322,Lucky Coin,-,Ms. Kobayashi's Dragon Maid
257,Koenma,Electric,85,85,80,75,325,Divine Blessing,-,Yu Yu Hakusho
258,Kofuku,Grass,82,91,67,85,325,Time Attack,Grass/ATK,Noragami
259,Kohaku,Grass,70,85,80,95,330,Dexterity Drive,Grass,Dr. Stone
260,Kojiro Shinomiya,Fire,100,70,75,83,328,Paralysis,-,Shokugeki No Soma
261,Kokoro,Grass,71,87,88,78,324,Pain For Power,-,Darling In The Franxx
262,Koneko Toujou,Neutral,89,72,71,89,321,Paralysis,-,High School DxD
263,Konno Yuuki,Ground,76,85,93,70,324,Lucky Coin,-,Sword Art Online
264,Koro Sensei,Light,73,85,73,100,331,Dexterity Drive,Light,Assassination Classroom
265,Koshi Sugawara,Grass,84,69,93,78,324,Rejuvenation,-,Haikyuu!!
266,Kotori Itsuka,Fire,94,94,64,69,321,Overload,ATK,Date A Live
267,Kougyoku,Water,88,87,73,76,324,Transformation,ATK,Magi
268,Kouta,Neutral,72,87,85,81,325,Pain For Power,-,Elfen Lied
269,Krillin,Neutral,96,91,68,65,320,Balancing Strike,-,Dragon Ball
270,Krul Tepes,Dark,65,74,94,87,320,Bloodthirster,-,Owari No Seraph
271,Kurapika,Light,75,77,85,87,324,Berserker,DEF,Hunter X Hunter
272,Kurisu Makise,Ground,76,90,70,87,323,Vengeance,DEF,Steins Gate
273,Kurumi Nonaka,Water,75,97,74,76,322,Elemental Strike,Water/ATK,Shinmai Maou No Testament
274,Kurumi Tokisaki,Fire,75,88,75,83,321,Bloodthirster,-,Date A Live
275,Kyoka Jiro,Electric,78,93,60,93,324,Balancing Strike,-,My Hero Academia
276,Kyoko Kirigiri,Neutral,68,87,82,90,327,Grievous Limiter,-,Danganronpa
277,Kyoya Hibari,Neutral,73,79,82,88,322,Underdog,ATK,Katekyo Hitman Reborn
278,L,Light,88,73,80,87,328,Grievous Limiter,-,Death Note
279,Lambo,Electric,74,87,77,85,323,Overload,ATK,Katekyo Hitman Reborn
280,Laxus Dreyar,Electric,85,89,68,83,325,Executioner,-,Fairy Tail
281,Lelouch Lamperouge,Dark,80,64,86,90,320,Restricted Instinct,-,Code Geass
282,Leorio Paradinight,Water,75,81,79,92,327,Breaker,ATK,Hunter X Hunter
283,Levi Ackerman,Ground,75,88,74,94,331,Evasion,-,Attack On Titan
284,Liala,Grass,85,85,81,71,322,Regeneration,-,Shinmai Maou No Testament
285,Light Yagami (Kira),Light,86,100,78,61,325,Executioner,-,Death Note
286,Liliruca Arde,Ground,80,67,99,73,319,Amplifier,DEF,Danmachi
287,Lisa Lisa,Water,83,89,74,82,328,Evasion,-,Jojos Bizarre Adventure
288,Liz T Blood,Dark,78,87,68,92,325,Overload,ATK,Blood Lad
289,Loid Forger (Twilight),Dark,70,98,82,80,330,Unlucky Coin,-,Spy X Family
290,Loke,Ground,65,77,87,94,323,Berserker,DEF,Fairy Tail
291,Lubbock,Grass,91,80,75,76,322,Lucky Coin,-,Akame Ga Kill!
292,Luck Voltia,Electric,76,91,79,80,326,Bloodthirster,-,Black Clover
293,Lucoa,Ground,86,73,83,79,321,Protector,-,Ms. Kobayashi's Dragon Maid
294,Lucy (Kaede),Dark,80,82,90,80,332,Berserker,ATK,Elfen Lied
295,Lucy Heartfilia,Light,75,92,86,68,321,Breaker,ATK,Fairy Tail
296,Lyserg Diethel,Grass,79,83,75,92,329,Celestial Influence,-,Shaman King
297,Machi Komacine,Ground,91,78,76,80,325,Regeneration,-,Hunter X Hunter
298,Madara Uchiha,Dark,88,90,82,60,320,Temporal Rewind,-,Naruto
299,Maka Albarn,Light,87,80,72,80,319,Time Attack,Light/ATK,Soul Eater
300,Maki Oze,Fire,92,76,83,77,328,Protector,-,Fire Force
301,Makima,Dark,84,92,80,76,332,Miracle Injection,-,Chainsaw Man
302,Mako Mankanshoku,Fire,63,89,82,95,329,Executioner,-,Kill La Kill
303,Makoto Kino (Sailor Jupiter),Electric,83,89,79,76,327,Paralysis,-,Sailor Moon
304,Makoto Naegi,Dark,81,81,81,83,326,Lucky Coin,-,Danganronpa
305,Mamoru Chiba (Tuxedo Mask),Dark,82,87,73,77,319,Regeneration,-,Sailor Moon
306,Maple,Neutral,65,65,130,65,325,Reflector,-,Bofuri
307,Maria Naruse,Dark,84,68,93,80,325,Underdog,DEF,Shinmai Maou No Testament
308,Mariko Kurama,Fire,83,81,70,95,329,Overload,ATK,Elfen Lied
309,Mary Saotome,Neutral,78,79,86,84,327,Divine Blessing,-,Kakegurui
310,Mavis Vermillion,Light,63,87,87,87,324,Vengeance,ATK,Fairy Tail
311,Maya Joga,Neutral,78,87,93,65,323,Time Bomb,-,Gochuumon Wa Usagi Desu Ka
312,Mayu,Neutral,90,82,85,73,330,Endurance,-,Elfen Lied
313,Mayuri,Fire,86,72,85,83,326,Berserker,DEF,Date A Live
314,Mayuri Shiina,Neutral,66,66,95,94,321,Rejuvenation,-,Steins Gate
315,Medusa Gorgon,Dark,68,99,65,90,322,Restricted Instinct,-,Soul Eater
316,Megumi Fushiguro,Light,86,71,92,78,327,Endurance,-,Jujutsu Kaisen
317,Megumi Natsu,Light,85,91,78,70,324,Time Attack,Light/ATK,Gochuumon Wa Usagi Desu Ka
318,Megumi Tadokoro,Water,74,88,92,70,324,Underdog,DEF,Shokugeki No Soma
319,Megumin,Fire,80,97,70,73,320,Elemental Strike,Fire/ATK,Konosuba
320,Meguru Bachira,Water,90,75,81,88,334,Celestial Influence,-,Blue Lock
321,Meliodas,Ground,77,76,73,98,324,Evasion,-,7 Deadly Sins
322,Mello,Ground,83,91,70,83,327,Dominance,-,Death Note
323,Melty Q Melromarc,Water,73,75,87,86,321,Regeneration,-,The Rising Of The Shield Hero
324,Mephisto Pheles,Dark,70,100,87,64,321,Grievous Limiter,-,Ao No Exorcist
325,Mera Mera,Fire,81,81,82,82,326,Blaze,-,Fire Force
326,Merlin,Dark,76,88,89,71,324,Temporal Rewind,-,7 Deadly Sins
327,Mii,Fire,82,84,83,80,329,Time Attack,Fire/ATK,Bofuri
328,Mikaela Hyakuya,Fire,96,81,67,77,321,Balancing Strike,-,Owari No Seraph
